model_type,subtype,gene_id,chr,type,MiXcan_snp_num,filtered_snp_num,used_indel,used_palindromic,Z_1_join,p_1_join,Z_2_join,p_2_join,p_join
adipose,Luminal_B,ENSG00000134917.9,11,CellTypeSpecific,13,13,1,0,1.31581304480963,0.188236799826059,0.58113895936053,0.561146803092511,0.317134989832466
adipose,Luminal_B_HER2Neg,ENSG00000134917.9,11,CellTypeSpecific,13,13,1,0,-1.34726645539569,0.177894431606243,-0.68209697184684,0.495177635263404,0.283851805430443
adipose,HER2_Enriched,ENSG00000134917.9,11,CellTypeSpecific,13,13,1,0,-0.433638456374845,0.664551004247143,-0.603041790997084,0.546480888197801,0.609372367962783
adipose,Triple_Neg,ENSG00000134917.9,11,CellTypeSpecific,13,13,1,0,1.89732777883557,0.0577846908991782,1.71634231976844,0.0860994069203927,0.0692000982876245
adipose,Luminal_A,ENSG00000142233.11,19,CellTypeSpecific,47,47,0,7,-0.0686247914123679,0.945288284688964,-0.377357873576889,0.705907668706951,0.905202253866715
adipose,Luminal_B,ENSG00000142233.11,19,CellTypeSpecific,47,47,0,7,0.630570948245575,0.528321099427836,2.63246097132281,0.0084768761767896,0.0169820233853206
adipose,Luminal_B_HER2Neg,ENSG00000142233.11,19,CellTypeSpecific,47,47,0,7,-0.540893262552313,0.588581155047008,-0.65035859889303,0.515460613549108,0.552719466813916
adipose,HER2_Enriched,ENSG00000142233.11,19,CellTypeSpecific,47,47,0,7,-0.0672937467756149,0.946347854956408,-0.138652741023127,0.88972456446932,0.927646156889674
adipose,Triple_Neg,ENSG00000142233.11,19,CellTypeSpecific,47,47,0,7,0.867128051112541,0.385871852516315,0.261557951998097,0.793662265093714,0.640574398526514
adipose,Luminal_A,ENSG00000149054.15,11,CellTypeSpecific,59,56,3,3,-0.400956144195769,0.688452412825958,2.63557429956874,0.00839950346155502,0.0170901136755165
adipose,Luminal_B,ENSG00000149054.15,11,CellTypeSpecific,59,56,3,3,-0.528961985815037,0.596831820689588,-1.01093994632605,0.312045173452333,0.443882367206929
adipose,Luminal_B_HER2Neg,ENSG00000149054.15,11,CellTypeSpecific,59,56,3,3,-0.100344623692883,0.920070731660108,1.67608571249881,0.0937214048941481,0.592877862484723
adipose,HER2_Enriched,ENSG00000149054.15,11,CellTypeSpecific,59,56,3,3,0.433490186215612,0.664658694130503,0.661313155695653,0.50841150638802,0.59210169394464
adipose,Triple_Neg,ENSG00000149054.15,11,CellTypeSpecific,59,56,3,3,-1.61236984020397,0.106881483795962,0.978584667318157,0.327785238234878,0.166582826594485
adipose,Luminal_A,ENSG00000198914.3,2,CellTypeSpecific,30,30,1,2,0.554419674570329,0.579291664369945,-1.32746630483572,0.184354478988157,0.319379129455832
adipose,Luminal_B,ENSG00000198914.3,2,CellTypeSpecific,30,30,1,2,-2.08833751860641,0.0367673993289451,0.991620890932886,0.321382494483401,0.067798859347122
adipose,Luminal_B_HER2Neg,ENSG00000198914.3,2,CellTypeSpecific,30,30,1,2,1.37675765379325,0.168587187128984,-0.669761907610724,0.503009580069471,0.275871713810265
adipose,HER2_Enriched,ENSG00000198914.3,2,CellTypeSpecific,30,30,1,2,1.04587701559623,0.295617817407656,-1.93462053913063,0.0530368777087455,0.0924181013588645
adipose,Triple_Neg,ENSG00000198914.3,2,CellTypeSpecific,30,30,1,2,-0.157889615144305,0.874543781334171,-0.486804890524603,0.62639660428915,0.803842241670995
adipose,Luminal_A,ENSG00000236036.1,13,CellTypeSpecific,7,6,0,1,-2.15054275340231,0.0315123079842849,-2.01457123815153,0.0439495936365813,0.0367105711908673
adipose,Luminal_B,ENSG00000236036.1,13,CellTypeSpecific,7,6,0,1,-2.05652640051355,0.0397318042376415,-1.77669382436391,0.0756186289416569,0.0521428829192505
adipose,Luminal_B_HER2Neg,ENSG00000236036.1,13,CellTypeSpecific,7,6,0,1,1.93864990506001,0.0525439823875392,2.31005937193693,0.0208848673327818,0.0299095650309188
adipose,HER2_Enriched,ENSG00000236036.1,13,CellTypeSpecific,7,6,0,1,-1.09162715325684,0.274997016124481,-0.833193593392331,0.404735555212353,0.332386461385607
adipose,Triple_Neg,ENSG00000236036.1,13,CellTypeSpecific,7,6,0,1,-0.322691513098225,0.746928880163999,-0.560676072437857,0.575018381701238,0.674470186475012
adipose,Luminal_A,ENSG00000257800.1,2,CellTypeSpecific,42,41,1,8,-1.75371521366204,0.0794793173607064,1.45354975717301,0.146071175171503,0.103293402431941
adipose,Luminal_B,ENSG00000257800.1,2,CellTypeSpecific,42,41,1,8,-1.31527281193113,0.1884182320861,0.88113428649859,0.378245141566499,0.259030668218613
adipose,Luminal_B_HER2Neg,ENSG00000257800.1,2,CellTypeSpecific,42,41,1,8,0.179664891334509,0.857415657530855,-0.112809441977337,0.910181632516056,0.889545974210622
adipose,HER2_Enriched,ENSG00000257800.1,2,CellTypeSpecific,42,41,1,8,-1.40083571108323,0.161263207034831,0.826640252055982,0.408440995502253,0.242399797591546
adipose,Triple_Neg,ENSG00000257800.1,2,CellTypeSpecific,42,41,1,8,0.207779452238077,0.835401177214486,0.0462154889053776,0.963138497304279,0.939268300305221
adipose,Luminal_A,ENSG00000092607.13,1,NonSpecific,33,33,3,4,-2.47063639593013,0.0134872874523966,-2.47063639593013,0.0134872874523966,0.0134872874523967
adipose,Luminal_B,ENSG00000092607.13,1,NonSpecific,33,33,3,4,-1.41699427359291,0.156484601708352,-1.41699427359291,0.156484601708352,0.156484601708352
adipose,Luminal_B_HER2Neg,ENSG00000092607.13,1,NonSpecific,33,33,3,4,-1.19837846825477,0.230769710973178,-1.19837846825477,0.230769710973178,0.230769710973178
adipose,HER2_Enriched,ENSG00000092607.13,1,NonSpecific,33,33,3,4,-2.36835692641063,0.0178672894963116,-2.36835692641063,0.0178672894963116,0.0178672894963117
adipose,Triple_Neg,ENSG00000092607.13,1,NonSpecific,33,33,3,4,0.664563067590875,0.506329997999747,0.664563067590875,0.506329997999747,0.506329997999747
adipose,Luminal_A,ENSG00000103199.13,16,NonSpecific,55,52,4,7,-1.43355830953756,0.151698347896421,-1.43355830953756,0.151698347896421,0.151698347896421
adipose,Luminal_B,ENSG00000103199.13,16,NonSpecific,55,52,4,7,0.945305069887109,0.344503150831544,0.945305069887109,0.344503150831544,0.344503150831544
adipose,Luminal_B_HER2Neg,ENSG00000103199.13,16,NonSpecific,55,52,4,7,-1.32525960592887,0.185085061682527,-1.32525960592887,0.185085061682527,0.185085061682527
adipose,HER2_Enriched,ENSG00000103199.13,16,NonSpecific,55,52,4,7,-0.601914632242768,0.547230963785113,-0.601914632242768,0.547230963785113,0.547230963785113
adipose,Triple_Neg,ENSG00000103199.13,16,NonSpecific,55,52,4,7,1.13646344928264,0.255762654262791,1.13646344928264,0.255762654262791,0.255762654262791
adipose,Luminal_A,ENSG00000110092.3,11,NonSpecific,27,26,1,2,-2.46946092622378,0.0135316795665178,-2.46946092622378,0.0135316795665178,0.0135316795665177
adipose,Luminal_B,ENSG00000110092.3,11,NonSpecific,27,26,1,2,2.76272140061619,0.00573216709376685,2.76272140061619,0.00573216709376685,0.00573216709376686
adipose,Luminal_B_HER2Neg,ENSG00000110092.3,11,NonSpecific,27,26,1,2,-0.968642847823821,0.332723417088169,-0.968642847823821,0.332723417088169,0.332723417088169
adipose,HER2_Enriched,ENSG00000110092.3,11,NonSpecific,27,26,1,2,-1.70170346437289,0.0888109706672424,-1.70170346437289,0.0888109706672424,0.0888109706672424
adipose,Triple_Neg,ENSG00000110092.3,11,NonSpecific,27,26,1,2,0.643378373134805,0.519978613049381,0.643378373134805,0.519978613049381,0.519978613049381
adipose,Luminal_A,ENSG00000159164.9,1,NonSpecific,26,13,1,2,1.19876387197442,0.230619774209087,1.19876387197442,0.230619774209087,0.230619774209087
adipose,Luminal_B,ENSG00000159164.9,1,NonSpecific,26,13,1,2,1.29754407330978,0.194444050861815,1.29754407330978,0.194444050861815,0.194444050861815
adipose,Luminal_B_HER2Neg,ENSG00000159164.9,1,NonSpecific,26,13,1,2,-1.47292160239401,0.14077217637711,-1.47292160239401,0.14077217637711,0.14077217637711
adipose,HER2_Enriched,ENSG00000159164.9,1,NonSpecific,26,13,1,2,0.600392873805911,0.548244435928431,0.600392873805911,0.548244435928431,0.548244435928431
adipose,Triple_Neg,ENSG00000159164.9,1,NonSpecific,26,13,1,2,1.3605266976864,0.17366331032035,1.3605266976864,0.17366331032035,0.17366331032035
adipose,Luminal_A,ENSG00000165269.12,9,NonSpecific,28,25,1,6,0.488160523322952,0.625436144104752,0.488160523322952,0.625436144104752,0.625436144104752
adipose,Luminal_B,ENSG00000165269.12,9,NonSpecific,28,25,1,6,-1.14904165339421,0.250538805450366,-1.14904165339421,0.250538805450366,0.250538805450366
adipose,Luminal_B_HER2Neg,ENSG00000165269.12,9,NonSpecific,28,25,1,6,1.14964440907265,0.250290359358364,1.14964440907265,0.250290359358364,0.250290359358364
adipose,HER2_Enriched,ENSG00000165269.12,9,NonSpecific,28,25,1,6,-0.443995703613665,0.657045690160765,-0.443995703613665,0.657045690160765,0.657045690160765
adipose,Triple_Neg,ENSG00000165269.12,9,NonSpecific,28,25,1,6,1.16582454298313,0.24368539204475,1.16582454298313,0.24368539204475,0.24368539204475
adipose,Luminal_A,ENSG00000166333.13,11,NonSpecific,18,15,0,1,0.0380663585017204,0.969634773885786,0.0380663585017204,0.969634773885786,0.969634773885786
adipose,Luminal_B,ENSG00000166333.13,11,NonSpecific,18,15,0,1,0.258336927054987,0.796146889547369,0.258336927054987,0.796146889547369,0.796146889547369
adipose,Luminal_B_HER2Neg,ENSG00000166333.13,11,NonSpecific,18,15,0,1,0.0465864283641119,0.962842848882994,0.0465864283641119,0.962842848882994,0.962842848882994
adipose,HER2_Enriched,ENSG00000166333.13,11,NonSpecific,18,15,0,1,-0.120342220260134,0.904212060184238,-0.120342220260134,0.904212060184238,0.904212060184238
adipose,Triple_Neg,ENSG00000166333.13,11,NonSpecific,18,15,0,1,0.183494842239903,0.854409765367211,0.183494842239903,0.854409765367211,0.854409765367211
adipose,Luminal_A,ENSG00000224397.5,20,NonSpecific,37,35,2,2,-0.6003132005701,0.548297522843657,-0.6003132005701,0.548297522843657,0.548297522843657
adipose,Luminal_B,ENSG00000224397.5,20,NonSpecific,37,35,2,2,-0.466056243927793,0.64117524227687,-0.466056243927793,0.64117524227687,0.64117524227687
adipose,Luminal_B_HER2Neg,ENSG00000224397.5,20,NonSpecific,37,35,2,2,-0.595457233737059,0.551537877783846,-0.595457233737059,0.551537877783846,0.551537877783846
adipose,HER2_Enriched,ENSG00000224397.5,20,NonSpecific,37,35,2,2,-1.48569761584746,0.137359121551661,-1.48569761584746,0.137359121551661,0.137359121551661
adipose,Triple_Neg,ENSG00000224397.5,20,NonSpecific,37,35,2,2,-1.81236374734598,0.0699300105603532,-1.81236374734598,0.0699300105603532,0.0699300105603532
adipose,Luminal_A,ENSG00000226445.1,6,NonSpecific,28,27,1,3,5.40126269810334,6.61734351612377e-08,5.40126269810334,6.61734351612377e-08,6.61734352232725e-08
adipose,Luminal_B,ENSG00000226445.1,6,NonSpecific,28,27,1,3,-3.19583521723069,0.00139426715620122,-3.19583521723069,0.00139426715620122,0.00139426715620124
adipose,Luminal_B_HER2Neg,ENSG00000226445.1,6,NonSpecific,28,27,1,3,1.75781756340271,0.0787785559326361,1.75781756340271,0.0787785559326361,0.0787785559326361
adipose,HER2_Enriched,ENSG00000226445.1,6,NonSpecific,28,27,1,3,0.297817592248706,0.765842386822379,0.297817592248706,0.765842386822379,0.765842386822379
adipose,Triple_Neg,ENSG00000226445.1,6,NonSpecific,28,27,1,3,2.29085366935757,0.021971878360884,2.29085366935757,0.021971878360884,0.021971878360884
adipose,Luminal_A,ENSG00000232871.8,19,NonSpecific,37,37,0,6,2.41346978437015,0.0158014379983499,2.41346978437015,0.0158014379983499,0.01580143799835
adipose,Luminal_B,ENSG00000232871.8,19,NonSpecific,37,37,0,6,5.37591209765971,7.61959611726162e-08,5.37591209765971,7.61959611726162e-08,7.61959611808812e-08
adipose,Luminal_B_HER2Neg,ENSG00000232871.8,19,NonSpecific,37,37,0,6,1.86999656892409,0.061484294322385,1.86999656892409,0.061484294322385,0.061484294322385
adipose,HER2_Enriched,ENSG00000232871.8,19,NonSpecific,37,37,0,6,-0.127675251450856,0.898405976258213,-0.127675251450856,0.898405976258213,0.898405976258213
adipose,Triple_Neg,ENSG00000232871.8,19,NonSpecific,37,37,0,6,1.09530958434427,0.273381029995066,1.09530958434427,0.273381029995066,0.273381029995066
adipose,Luminal_A,ENSG00000277147.4,1,NonSpecific,22,9,1,2,1.54728169331422,0.121795334161078,1.54728169331422,0.121795334161078,0.121795334161078
adipose,Luminal_B,ENSG00000277147.4,1,NonSpecific,22,9,1,2,0.0445051272695999,0.964501765058251,0.0445051272695999,0.964501765058251,0.964501765058251
adipose,Luminal_B_HER2Neg,ENSG00000277147.4,1,NonSpecific,22,9,1,2,2.37916911227997,0.0173517134123494,2.37916911227997,0.0173517134123494,0.0173517134123494
adipose,HER2_Enriched,ENSG00000277147.4,1,NonSpecific,22,9,1,2,0.568304054052889,0.569828526707369,0.568304054052889,0.569828526707369,0.569828526707369
adipose,Triple_Neg,ENSG00000277147.4,1,NonSpecific,22,9,1,2,3.029344207661,0.00245085272435855,3.029344207661,0.00245085272435855,0.00245085272435857
fibroblast,Luminal_A,ENSG00000048707.13,1,CellTypeSpecific,33,28,0,4,1.57868087496335,0.1144092737173,1.39442130267174,0.163190418910416,0.13477343911322
fibroblast,Luminal_B,ENSG00000048707.13,1,CellTypeSpecific,33,28,0,4,-0.756057152949401,0.449614929827213,-0.412322550716523,0.680103021980739,0.5742910221306
fibroblast,Luminal_B_HER2Neg,ENSG00000048707.13,1,CellTypeSpecific,33,28,0,4,-0.249258509097134,0.803160823515339,0.751900690291765,0.45211078298926,0.678256953156627
fibroblast,HER2_Enriched,ENSG00000048707.13,1,CellTypeSpecific,33,28,0,4,-0.273582646358853,0.78440537156639,-0.539788218510212,0.589343092922132,0.708039904334248
fibroblast,Triple_Neg,ENSG00000048707.13,1,CellTypeSpecific,33,28,0,4,2.09450176222376,0.036215306251084,2.87723607880637,0.00401175337826228,0.00722555623580379
fibroblast,Luminal_A,ENSG00000092607.13,1,CellTypeSpecific,33,33,3,5,0.55968818650272,0.575692141624946,-1.07520108080328,0.282284711658467,0.41120189181384
fibroblast,Luminal_B,ENSG00000092607.13,1,CellTypeSpecific,33,33,3,5,1.15869221669509,0.246581664555355,-0.886700611347447,0.375240109132589,0.301887576157937
fibroblast,Luminal_B_HER2Neg,ENSG00000092607.13,1,CellTypeSpecific,33,33,3,5,-0.876650678093721,0.380676403966874,-1.05547164638704,0.291209670404698,0.332334625937949
fibroblast,HER2_Enriched,ENSG00000092607.13,1,CellTypeSpecific,33,33,3,5,-1.1861796118724,0.235551375984183,-2.79065644590806,0.00526012724790905,0.0103305403793928
fibroblast,Triple_Neg,ENSG00000092607.13,1,CellTypeSpecific,33,33,3,5,2.2159045551419,0.0266980395142982,0.522997383943467,0.600976073750409,0.0545019358384241
fibroblast,Luminal_A,ENSG00000110092.3,11,CellTypeSpecific,44,43,1,5,-0.0227353711747409,0.981861361004002,-2.18556291394637,0.0288475983714511,0.905338086312211
fibroblast,Luminal_B,ENSG00000110092.3,11,CellTypeSpecific,44,43,1,5,3.20931165509494,0.00133053186181939,0.863766692795417,0.387716068241115,0.00265692876432518
fibroblast,Luminal_B_HER2Neg,ENSG00000110092.3,11,CellTypeSpecific,44,43,1,5,-0.270284809477596,0.786941150888103,-0.717121204054364,0.473299313238242,0.669651544744055
fibroblast,HER2_Enriched,ENSG00000110092.3,11,CellTypeSpecific,44,43,1,5,-1.62643935936003,0.103856223621802,-0.707956841458152,0.478972059366351,0.186117973269659
fibroblast,Triple_Neg,ENSG00000110092.3,11,CellTypeSpecific,44,43,1,5,0.781903346367515,0.434271378242759,0.256229324063869,0.797773766911164,0.665728325187483
fibroblast,Luminal_A,ENSG00000142233.11,19,CellTypeSpecific,55,54,0,7,0.170461833430906,0.864646947547066,-0.800358165658565,0.423503311766756,0.747041480827807
fibroblast,Luminal_B,ENSG00000142233.11,19,CellTypeSpecific,55,54,0,7,2.39587334258597,0.0165808187304482,1.9959686935266,0.0459373305625699,0.0243801286832032
fibroblast,Luminal_B_HER2Neg,ENSG00000142233.11,19,CellTypeSpecific,55,54,0,7,-1.32769275321237,0.184279628551295,0.44595824884651,0.655627405036334,0.352685213493221
fibroblast,HER2_Enriched,ENSG00000142233.11,19,CellTypeSpecific,55,54,0,7,0.228962645596233,0.818897949419335,0.541431490449168,0.588210206876571,0.737449602009284
fibroblast,Triple_Neg,ENSG00000142233.11,19,CellTypeSpecific,55,54,0,7,-0.443642918259448,0.657300771038661,0.62111878158408,0.534521472585181,0.599683639293399
fibroblast,Luminal_A,ENSG00000159164.9,1,CellTypeSpecific,20,11,1,2,-1.84968618710934,0.0643587924952458,2.4873787011299,0.0128688329861685,0.021474963561393
fibroblast,Luminal_B,ENSG00000159164.9,1,CellTypeSpecific,20,11,1,2,-0.66935204400762,0.503270935112372,1.8244224538486,0.0680882299651349,0.130720738490394
fibroblast,Luminal_B_HER2Neg,ENSG00000159164.9,1,CellTypeSpecific,20,11,1,2,-0.324371401307528,0.745656868684935,-0.828545282785539,0.407361761162746,0.603399950418904
fibroblast,HER2_Enriched,ENSG00000159164.9,1,CellTypeSpecific,20,11,1,2,1.14035987034643,0.254136404285552,0.654355001299681,0.512883118217094,0.360950190240533
fibroblast,Triple_Neg,ENSG00000159164.9,1,CellTypeSpecific,20,11,1,2,0.277185788292043,0.781637451560011,1.61696763791623,0.105885266697523,0.278270045956213
fibroblast,Luminal_A,ENSG00000176920.11,19,CellTypeSpecific,46,45,3,6,-0.817829781949778,0.413454389784314,-0.125896676124406,0.899813713810436,0.80217908692997
fibroblast,Luminal_B,ENSG00000176920.11,19,CellTypeSpecific,46,45,3,6,-2.13877991972793,0.0324534964728006,-1.37148851998124,0.170222719781907,0.0549863452095364
fibroblast,Luminal_B_HER2Neg,ENSG00000176920.11,19,CellTypeSpecific,46,45,3,6,1.30378816865479,0.192305817696459,1.26456765391325,0.206026354355524,0.198961394352177
fibroblast,HER2_Enriched,ENSG00000176920.11,19,CellTypeSpecific,46,45,3,6,-1.32345468067911,0.185684217854456,-1.194691587898,0.232207550306586,0.206731450709427
fibroblast,Triple_Neg,ENSG00000176920.11,19,CellTypeSpecific,46,45,3,6,0.825714636592592,0.408965987454463,1.26772995104413,0.204894405036824,0.282634774808333
fibroblast,Luminal_A,ENSG00000183779.6,8,CellTypeSpecific,36,36,0,6,6.8171650388537,9.28545739341538e-12,4.83618677772689,1.32353564363463e-06,1.85708140853562e-11
fibroblast,Luminal_B,ENSG00000183779.6,8,CellTypeSpecific,36,36,0,6,3.02815915297666,0.00246048466720394,2.54207606958883,0.0110196187673521,0.00402290358127543
fibroblast,Luminal_B_HER2Neg,ENSG00000183779.6,8,CellTypeSpecific,36,36,0,6,3.3009428334304,0.000963605141977542,2.01991492665164,0.0433922127098093,0.00188558036789098
fibroblast,HER2_Enriched,ENSG00000183779.6,8,CellTypeSpecific,36,36,0,6,2.5813435085917,0.00984165999452033,-0.316778566998395,0.751411628350493,0.0202962246606528
fibroblast,Triple_Neg,ENSG00000183779.6,8,CellTypeSpecific,36,36,0,6,4.759765526184,1.93817989746368e-06,1.9073691821576,0.0564727972108482,3.87622815914388e-06
fibroblast,Luminal_A,ENSG00000257800.1,2,CellTypeSpecific,31,29,2,8,-0.72446435015182,0.468780705930754,0.621787371743483,0.534081691122263,0.50144636329644
fibroblast,Luminal_B,ENSG00000257800.1,2,CellTypeSpecific,31,29,2,8,0.265213483318878,0.790845008529376,-0.396802351518192,0.691513216532699,0.748629755750128
fibroblast,Luminal_B_HER2Neg,ENSG00000257800.1,2,CellTypeSpecific,31,29,2,8,0.14066885862576,0.888131547640763,-0.138969984408312,0.889473867829489,0.888806592563235
fibroblast,HER2_Enriched,ENSG00000257800.1,2,CellTypeSpecific,31,29,2,8,-1.10361955811009,0.269758203472786,0.939567713537288,0.347439343865318,0.305314874841511
fibroblast,Triple_Neg,ENSG00000257800.1,2,CellTypeSpecific,31,29,2,8,-1.45511158889521,0.145638371374868,1.52663444671318,0.126851936399373,0.135637240429182
fibroblast,Luminal_A,ENSG00000277147.4,1,CellTypeSpecific,34,10,0,3,1.32213320349947,0.186123798968827,1.4470982195969,0.147869416615248,0.165005867716512
fibroblast,Luminal_B,ENSG00000277147.4,1,CellTypeSpecific,34,10,0,3,1.71210905864535,0.0868765722943261,1.65000886274693,0.0989411233842583,0.0925282865442714
fibroblast,Luminal_B_HER2Neg,ENSG00000277147.4,1,CellTypeSpecific,34,10,0,3,0.580417756025121,0.561632934026314,0.812391837089606,0.416566828663512,0.488513485749982
fibroblast,HER2_Enriched,ENSG00000277147.4,1,CellTypeSpecific,34,10,0,3,0.491252646643815,0.623247767289868,0.520735516134744,0.602551029430712,0.613024081290635
fibroblast,Triple_Neg,ENSG00000277147.4,1,CellTypeSpecific,34,10,0,3,1.40694992371655,0.159442238285575,1.65503819403837,0.0979167506109558,0.121687886159658
fibroblast,Luminal_A,ENSG00000084676.15,2,NonSpecific,29,29,2,5,-2.94792382017984,0.00319915890168006,-2.94792382017984,0.00319915890168006,0.00319915890168009
fibroblast,Luminal_B,ENSG00000084676.15,2,NonSpecific,29,29,2,5,-3.56514455106427,0.000363655706096926,-3.56514455106427,0.000363655706096926,0.000363655706096955
fibroblast,Luminal_B_HER2Neg,ENSG00000084676.15,2,NonSpecific,29,29,2,5,-1.18674085823924,0.235329853371371,-1.18674085823924,0.235329853371371,0.235329853371371
fibroblast,HER2_Enriched,ENSG00000084676.15,2,NonSpecific,29,29,2,5,-2.44169995805099,0.0146182903822579,-2.44169995805099,0.0146182903822579,0.014618290382258
fibroblast,Triple_Neg,ENSG00000084676.15,2,NonSpecific,29,29,2,5,-0.779673793600237,0.435582907965931,-0.779673793600237,0.435582907965931,0.435582907965931
fibroblast,Luminal_A,ENSG00000103199.13,16,NonSpecific,53,50,3,7,-1.4756425975322,0.140039863312629,-1.4756425975322,0.140039863312629,0.140039863312629
fibroblast,Luminal_B,ENSG00000103199.13,16,NonSpecific,53,50,3,7,0.899830152615826,0.368210645369218,0.899830152615826,0.368210645369218,0.368210645369218
fibroblast,Luminal_B_HER2Neg,ENSG00000103199.13,16,NonSpecific,53,50,3,7,-1.49423715894376,0.135113643472641,-1.49423715894376,0.135113643472641,0.135113643472642
fibroblast,HER2_Enriched,ENSG00000103199.13,16,NonSpecific,53,50,3,7,-0.74928147481856,0.45368757099666,-0.74928147481856,0.45368757099666,0.45368757099666
fibroblast,Triple_Neg,ENSG00000103199.13,16,NonSpecific,53,50,3,7,1.13290822404876,0.257252796002848,1.13290822404876,0.257252796002848,0.257252796002848
fibroblast,Luminal_A,ENSG00000149054.15,11,NonSpecific,53,51,3,1,2.64926753922019,0.0080666445332977,2.64926753922019,0.0080666445332977,0.00806664453329773
fibroblast,Luminal_B,ENSG00000149054.15,11,NonSpecific,53,51,3,1,-1.8422252446034,0.0654422092688297,-1.8422252446034,0.0654422092688297,0.0654422092688296
fibroblast,Luminal_B_HER2Neg,ENSG00000149054.15,11,NonSpecific,53,51,3,1,1.73731988748169,0.0823307231084164,1.73731988748169,0.0823307231084164,0.0823307231084165
fibroblast,HER2_Enriched,ENSG00000149054.15,11,NonSpecific,53,51,3,1,1.2475597342047,0.21219233203228,1.2475597342047,0.21219233203228,0.21219233203228
fibroblast,Triple_Neg,ENSG00000149054.15,11,NonSpecific,53,51,3,1,-0.728544249954419,0.46628049149927,-0.728544249954419,0.46628049149927,0.46628049149927
fibroblast,Luminal_A,ENSG00000165269.12,9,NonSpecific,28,25,1,6,0.442730591275853,0.657960612654451,0.442730591275853,0.657960612654451,0.657960612654451
fibroblast,Luminal_B,ENSG00000165269.12,9,NonSpecific,28,25,1,6,-1.21359678186565,0.224901736549023,-1.21359678186565,0.224901736549023,0.224901736549023
fibroblast,Luminal_B_HER2Neg,ENSG00000165269.12,9,NonSpecific,28,25,1,6,1.14837298772821,0.250814619962552,1.14837298772821,0.250814619962552,0.250814619962552
fibroblast,HER2_Enriched,ENSG00000165269.12,9,NonSpecific,28,25,1,6,-0.401227752070723,0.688252450163924,-0.401227752070723,0.688252450163924,0.688252450163924
fibroblast,Triple_Neg,ENSG00000165269.12,9,NonSpecific,28,25,1,6,1.13684278302306,0.255604014673534,1.13684278302306,0.255604014673534,0.255604014673534
fibroblast,Luminal_A,ENSG00000166333.13,11,NonSpecific,36,33,0,3,0.0923755891721286,0.92639963350632,0.0923755891721286,0.92639963350632,0.92639963350632
fibroblast,Luminal_B,ENSG00000166333.13,11,NonSpecific,36,33,0,3,0.216728030014852,0.828420302348697,0.216728030014852,0.828420302348697,0.828420302348697
fibroblast,Luminal_B_HER2Neg,ENSG00000166333.13,11,NonSpecific,36,33,0,3,0.211554636598068,0.83245450295873,0.211554636598068,0.83245450295873,0.83245450295873
fibroblast,HER2_Enriched,ENSG00000166333.13,11,NonSpecific,36,33,0,3,-0.285786950010781,0.775041303846847,-0.285786950010781,0.775041303846847,0.775041303846847
fibroblast,Triple_Neg,ENSG00000166333.13,11,NonSpecific,36,33,0,3,0.343237892134586,0.731419500445623,0.343237892134586,0.731419500445623,0.731419500445623
fibroblast,Luminal_A,ENSG00000198914.3,2,NonSpecific,25,25,1,1,-1.34958294638601,0.177149797430269,-1.34958294638601,0.177149797430269,0.17714979743027
fibroblast,Luminal_B,ENSG00000198914.3,2,NonSpecific,25,25,1,1,-1.78978138048241,0.0734890635960915,-1.78978138048241,0.0734890635960915,0.0734890635960915
