gene_id,chr,type,model_type,MiXcan_snp_num,filtered_snp_num,used_indel,used_palindromic,Z_1_join,p_1_join,Z_2_join,p_2_join,p_join
ENSG00000142233.11,19,CellTypeSpecific,fibroblast,55,55,0,7,1.26342888509789,0.206435088870749,0.70584796397399,0.480282690573998,0.307588167446885
ENSG00000159164.9,1,CellTypeSpecific,fibroblast,20,11,1,2,-1.54133876551124,0.123234358801555,3.18898111019119,0.00142775207045474,0.00282437730490727
ENSG00000176920.11,19,CellTypeSpecific,fibroblast,46,45,3,6,-0.574990568397155,0.565297675698224,0.111294029546089,0.91138318972647,0.842504079185338
ENSG00000183779.6,8,CellTypeSpecific,fibroblast,36,36,0,6,10.0766239202147,7.00932043266062e-24,6.58604502932134,4.516968831058e-11,1.40186408653191e-23
ENSG00000257800.1,2,CellTypeSpecific,fibroblast,31,29,2,8,-0.475745985677127,0.634255355228083,0.287299235851094,0.773883207709866,0.715867344842672
ENSG00000277147.4,1,CellTypeSpecific,fibroblast,34,10,0,3,2.70859403326489,0.00675689616225761,2.83455810563834,0.00458891119685501,0.00546579207001891
ENSG00000084676.15,2,NonSpecific,fibroblast,29,29,2,5,-5.11169813212582,3.19275723981557e-07,-5.11169813212582,3.19275723981557e-07,3.19275724015673e-07
ENSG00000103199.13,16,NonSpecific,fibroblast,53,50,3,7,-0.352991075971431,0.724095130798357,-0.352991075971431,0.724095130798357,0.724095130798357
ENSG00000149054.15,11,NonSpecific,fibroblast,53,51,4,1,1.86730616750608,0.0618588446268997,1.86730616750608,0.0618588446268997,0.0618588446268997
ENSG00000165269.12,9,NonSpecific,fibroblast,28,26,1,6,0.31598773308461,0.752011819058193,0.31598773308461,0.752011819058193,0.752011819058193
ENSG00000166333.13,11,NonSpecific,fibroblast,36,33,0,3,0.370291895806338,0.711165011562069,0.370291895806338,0.711165011562069,0.711165011562069
ENSG00000198914.3,2,NonSpecific,fibroblast,25,25,1,1,-1.71250130028679,0.086804325191417,-1.71250130028679,0.086804325191417,0.086804325191417
ENSG00000224397.5,20,NonSpecific,fibroblast,41,41,2,2,-2.09213311989123,0.036426609161409,-2.09213311989123,0.036426609161409,0.0364266091614091
ENSG00000226445.1,6,NonSpecific,fibroblast,30,29,1,3,4.41915421006816,9.90879264089151e-06,4.41915421006816,9.90879264089151e-06,9.9087926409511e-06
ENSG00000232871.8,19,NonSpecific,fibroblast,44,44,0,7,4.13434916362239,3.55961947375692e-05,4.13434916362239,3.55961947375692e-05,3.55961947375791e-05
ENSG00000236036.1,13,NonSpecific,fibroblast,6,5,0,1,-0.784302071028399,0.432862884545879,-0.784302071028399,0.432862884545879,0.432862884545879
ENSG00000142233.11,19,CellTypeSpecific,epithelial,49,48,0,7,1.60238887739928,0.109069642855773,-0.964116713093985,0.334987414383332,0.170334024500443
ENSG00000149054.15,11,CellTypeSpecific,epithelial,55,54,5,2,0.790730239978496,0.429101425685941,0.606257061016669,0.544344067110296,0.486277718758168
ENSG00000183779.6,8,CellTypeSpecific,epithelial,38,38,0,5,5.59238571627568,2.23970573295542e-08,7.8230209928752,5.15705005972669e-15,1.03581122896591e-14
ENSG00000224397.5,20,CellTypeSpecific,epithelial,56,56,2,7,-0.138436579785598,0.889895388836,-1.21145730892167,0.225720186795674,0.715671953689283
ENSG00000048707.13,1,NonSpecific,epithelial,42,37,0,5,1.43247212987177,0.152008748680432,1.43247212987177,0.152008748680432,0.152008748680432
ENSG00000084676.15,2,NonSpecific,epithelial,37,37,2,6,-5.33432737096348,9.58993719585788e-08,-5.33432737096348,9.58993719585788e-08,9.58993719773352e-08
ENSG00000092607.13,1,NonSpecific,epithelial,34,34,3,4,-3.54273831366641,0.000395995443090275,-3.54273831366641,0.000395995443090275,0.000395995443090301
ENSG00000103199.13,16,NonSpecific,epithelial,58,55,3,8,-0.41104984459917,0.681035985912931,-0.41104984459917,0.681035985912931,0.681035985912931
ENSG00000110092.3,11,NonSpecific,epithelial,28,27,1,2,0.278522422351012,0.78061135517555,0.278522422351012,0.78061135517555,0.78061135517555
ENSG00000165269.12,9,NonSpecific,epithelial,33,31,2,6,0.312051311930018,0.755001527612708,0.312051311930018,0.755001527612708,0.755001527612708
ENSG00000166333.13,11,NonSpecific,epithelial,30,28,0,2,0.375150413906487,0.707548605455149,0.375150413906487,0.707548605455149,0.707548605455149
ENSG00000198914.3,2,NonSpecific,epithelial,25,25,1,1,-1.718437686866,0.0857168112139819,-1.718437686866,0.0857168112139819,0.0857168112139819
ENSG00000226445.1,6,NonSpecific,epithelial,28,27,1,3,4.36985634399955,1.24328300327699e-05,4.36985634399955,1.24328300327699e-05,1.24328300328072e-05
ENSG00000232871.8,19,NonSpecific,epithelial,42,42,0,7,4.21524000967151,2.49512690494314e-05,4.21524000967151,2.49512690494314e-05,2.495126904945e-05
ENSG00000236036.1,13,NonSpecific,epithelial,7,6,0,2,-0.804992204197998,0.420824178470046,-0.804992204197998,0.420824178470046,0.420824178470046
ENSG00000257800.1,2,NonSpecific,epithelial,22,21,0,6,-1.59813124806941,0.110013770601732,-1.59813124806941,0.110013770601732,0.110013770601732
ENSG00000277147.4,1,NonSpecific,epithelial,17,6,1,2,1.91109110215618,0.055992874414974,1.91109110215618,0.055992874414974,0.055992874414974
ENSG00000048707.13,1,NonSpecific,predixcanlike,4,4,0,0,1.2186338167795,0.222983207942918,1.2186338167795,0.222983207942918,0.222983207942919
ENSG00000084676.15,2,NonSpecific,predixcanlike,8,8,0,1,-3.49594305273678,0.00047238950421925,-3.49594305273678,0.00047238950421925,0.000472389504219225
ENSG00000092607.13,1,NonSpecific,predixcanlike,6,6,2,1,-3.18842723065302,0.00143049010089441,-3.18842723065302,0.00143049010089441,0.0014304901008944
ENSG00000103199.13,16,NonSpecific,predixcanlike,9,9,1,0,0.42356345572847,0.671884211539369,0.42356345572847,0.671884211539369,0.671884211539369
ENSG00000110092.3,11,NonSpecific,predixcanlike,11,11,0,2,-0.023614806900573,0.98115986124645,-0.023614806900573,0.98115986124645,0.98115986124645
ENSG00000142233.11,19,NonSpecific,predixcanlike,12,12,0,2,1.03690416863856,0.299780520980179,1.03690416863856,0.299780520980179,0.299780520980179
ENSG00000149054.15,11,NonSpecific,predixcanlike,16,16,1,1,1.90966498774246,0.0561763617353525,1.90966498774246,0.0561763617353525,0.0561763617353525
ENSG00000159164.9,1,NonSpecific,predixcanlike,7,3,0,1,1.46316410696599,0.14342247963332,1.46316410696599,0.14342247963332,0.14342247963332
ENSG00000165269.12,9,NonSpecific,predixcanlike,6,5,0,2,0.333100187981979,0.739058657490318,0.333100187981979,0.739058657490318,0.739058657490318
ENSG00000166333.13,11,NonSpecific,predixcanlike,1,1,0,0,0.0908592225504147,0.92760445181056,0.0908592225504147,0.92760445181056,0.92760445181056
ENSG00000183779.6,8,NonSpecific,predixcanlike,4,4,0,0,5.82185332494699,5.81986149233834e-09,5.82185332494699,5.81986149233834e-09,5.81986152869653e-09
ENSG00000198914.3,2,NonSpecific,predixcanlike,11,11,0,0,-2.02329417610963,0.0430428269834507,-2.02329417610963,0.0430428269834507,0.0430428269834507
ENSG00000224397.5,20,NonSpecific,predixcanlike,5,5,0,2,-1.97960124111486,0.0477483534290826,-1.97960124111486,0.0477483534290826,0.0477483534290826
ENSG00000226445.1,6,NonSpecific,predixcanlike,5,5,0,0,4.37240277869435,1.22886545052621e-05,4.37240277869435,1.22886545052621e-05,1.22886545052449e-05
ENSG00000232871.8,19,NonSpecific,predixcanlike,17,17,0,2,4.26458094785773,2.00277727015823e-05,4.26458094785773,2.00277727015823e-05,2.00277727015907e-05
ENSG00000236036.1,13,NonSpecific,predixcanlike,3,3,0,1,-0.595027765518203,0.551824911466122,-0.595027765518203,0.551824911466122,0.551824911466122
ENSG00000257800.1,2,NonSpecific,predixcanlike,4,4,0,2,-1.59997102826325,0.109605010686527,-1.59997102826325,0.109605010686527,0.109605010686527
ENSG00000277147.4,1,NonSpecific,predixcanlike,3,1,0,1,3.15857311645149,0.00158543533678225,3.15857311645149,0.00158543533678225,0.00158543533678228
